post_id,title,body,author,created_at,url,source
7485105,Re: February 2026 Spotify for Developers update: thread,"<P class=""""><SPAN>First, I'd like to thank the Spotify Developer team for everything they've built over the years. MatchBeats simply wouldn't exist without the Spotify APIs.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>I'm the solo developer behind MatchBeats, a social music discovery platform designed to help people discover new music through other listeners with similar taste. Users can compare compatibility, discover artists and songs from people who share their music taste, follow discussions, and share real-time ""Current Vibes"" with friends.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>One of the things I'm most proud of is that MatchBeats doesn't compete with Spotify—it complements it. Every recommendation ultimately encourages users to go back and listen on their streaming service.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>When the new API restrictions were announced earlier this year, I understood why changes were necessary. Protecting the platform from abuse is important.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>However, I'm struggling to understand the path for legitimate early-stage developers.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>Today, development mode limits me to just five Spotify users, while production access requires a demonstrated user base on a scale that's impossible to achieve without first allowing real users to experience the product.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>To continue validating the idea, I launched support for Apple Music. We've already started building a small but engaged community. People are returning, connecting with one another, sharing their music, and giving incredibly valuable feedback that's helping shape the product.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>The challenge is that Spotify listeners make up such a large part of the music community that it's difficult to validate a product built around music discovery when only five Spotify accounts can participate.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>I'm not asking for unlimited production access or special treatment.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>I'd love to see Spotify consider a middle ground for legitimate startups—perhaps a small ""startup beta"" program that allows a few hundred real users to test products that demonstrably add value to the Spotify ecosystem while still protecting the platform from abuse.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>I'd be grateful if the Developer Relations team would consider taking a look at MatchBeats. Even if the answer is ""not yet,"" I'd love to better understand what milestones an application like mine should realistically achieve to become eligible in the future.</SPAN></P><P class="""">&nbsp;</P><P class=""""><SPAN>If anyone from Spotify is interested, I'm happy to share a demo, metrics from our Apple Music beta, or discuss how MatchBeats encourages music discovery and drives listeners back to artists and streaming services.</SPAN></P><P class="""">&nbsp;</P><P><SPAN>Thanks for taking the time to read this, and thank you for continuing to support the developer community.</SPAN></P><P>&nbsp;</P><P><SPAN><span class=""lia-inline-image-display-wrapper lia-image-align-inline"" image-alt=""MatchBeatsCollage.png"" style=""width: 999px;""><img src=""https://community.spotify.com/t5/image/serverpage/image-id/209242iA7197E10ABC57826/image-size/large?v=v2&amp;px=999"" role=""button"" title=""MatchBeatsCollage.png"" alt=""MatchBeatsCollage.png"" /></span></SPAN></P>",webdevmorgan,2026-06-27T18:30:46.776+02:00,https://community.spotify.com/t5/Spotify-for-Developers/February-2026-Spotify-for-Developers-update-thread/m-p/7485105#M21608,forum
7483589,Re: Black Screen (June 15 2026 install),"<P><STRONG>Fresh cache</STRONG></P><P>The fresh cache recommendation works. On the first run, the app asks me to log in. On subsequent runs (using the the app works fine (does not ask me to log in) and black screen issue does not come back when opened using the fresh cache command line. However, when app opened using the normal link from the windows start menu the black screen returns.</P><P><STRONG>Log file</STRONG></P><P>Cannot create a log file. When black screen behaviour returns, following the steps to report issue does not bring up a new screen.</P>",vcvc,2026-06-26T00:26:57.673+02:00,https://community.spotify.com/t5/Desktop-Windows/Black-Screen-June-15-2026-install/m-p/7483589#M139595,forum
7483469,MIXING FEATURE: Suggest compatible songs to mix for selected song,"<P>When building a mixed playlist, I often add a large number of songs that <EM>might</EM> work before narrowing them down. The biggest challenge is finding the perfect song to transition into when one just isn't working.</P><P>Spotify already suggests similar music at the playlist level, but I'd love to see recommendations based on the <STRONG>specific song I'm currently working with</STRONG> while editing the playlist.</P><P>One reason this would be so valuable is because the <STRONG>Smart Reorder</STRONG> feature can only work with the songs already in the playlist. If my playlist doesn't have a wide enough variety of compatible songs, Smart Reorder does its best but is inevitably forced to place tracks with poor BPM, key, or energy compatibility next to each other.</P><P>At that point, my workflow becomes trial and error. I have to manually search through my library and add songs that I <EM>hope</EM> might bridge the transition, often without knowing their BPM or key ahead of time.</P><P>Instead, Spotify could suggest a handful of songs from <STRONG>my Liked Songs</STRONG> (or even my library) that are highly compatible with the song I'm currently trying to transition from or to. Compatibility could consider BPM, key, energy, genre, mood, and listening history.</P><P>This would save a huge amount of time spent scrolling through hundreds of saved tracks trying to remember what might fit. Since Spotify already has detailed audio analysis for my library, it seems like a natural extension of the existing recommendation system.</P><P>Ideally, this could appear as a <STRONG>""Suggested Transition Songs""</STRONG> or <STRONG>""Bridge This Transition""</STRONG> section while editing playlist order. Rather than just optimizing the songs already in the playlist, Spotify could proactively help fill the gaps by recommending tracks from my own library that create smoother transitions.</P>",Peterhurst17,2026-06-25T21:12:10.412+02:00,https://community.spotify.com/t5/Live-Ideas/MIXING-FEATURE-Suggest-compatible-songs-to-mix-for-selected-song/idi-p/7483469,forum
7482865,Feature Request: Separate Song Likes from Recommendation Preferences,"<P>I love Spotify's recommendations and Smart Shuffle. Sometimes Spotify introduces me to songs that fit my current vibe perfectly, but I don't necessarily want to add them to my Liked Songs.</P><P>&nbsp;</P><P>My Liked Songs playlist is a mix of different genres and moods. If I add every recommended song I enjoy, it starts to dilute the identity of that playlist.</P><P>&nbsp;</P><P>What I'm missing is a way to tell Spotify: ""I like this song and want more recommendations like it, but I don't want to save it to my library.""</P><P>&nbsp;</P><P>The current Like button does two things at once:</P><P>&nbsp;</P><P>1. Saves a song to my collection.</P><P>2. Teaches the recommendation algorithm.</P><P>&nbsp;</P><P>I think these should be separate actions.</P><P>&nbsp;</P><P>For example, there could be a ""Vibe"" or ""Keep in Rotation"" button. Pressing it wouldn't add the song to Liked Songs, but it would tell Spotify that I enjoy this style, mood, and energy and want similar recommendations in the future.</P><P>&nbsp;</P><P>Sometimes a song is perfect in the context of a specific mix, artist radio, or Smart Shuffle session. I love hearing it when Spotify brings it up, but it's not necessarily a song I want permanently added to my main playlist.</P><P>&nbsp;</P><P>This feature would help Spotify understand not just what songs users save, but what vibes they connect with. I don't know if i clearly explained it..</P>",Purple9,2026-06-25T07:02:51.177+02:00,https://community.spotify.com/t5/Live-Ideas/Feature-Request-Separate-Song-Likes-from-Recommendation/idi-p/7482865,forum
7482227,Community-Driven Tags for Individual Songs (Like Steam Game Tags),"<P>Spotify should add community tags to songs, similar to Steam tags.</P><P><BR />Spotify's recommendation system is good, but discovering music by specific characteristics is still difficult.</P><P><BR />A feature I'd love to see is community-driven tags for songs, similar to how Steam tags games. Users could add tags such as:</P><P><BR />- Brostep<BR />- Female vocals<BR />- Melancholic<BR />- Heavy bass<BR />- Atmospheric<BR />- Cybermetal</P><P>- Jazz</P><P>etc...</P><P><BR />The most upvoted tags would appear on the song's page, and users could click any tag to find other songs with the same characteristics, exactly like how steam tags work.</P><P><BR />This would make music discovery much more precise than relying solely on genres, playlists, and Spotify's algorithm.</P><P><BR />Steam's tag system works extremely well for helping users find exactly what they're looking for, and I think a similar system could do the same for music.</P>",T1mo777,2026-06-24T14:57:58.792+02:00,https://community.spotify.com/t5/Live-Ideas/Community-Driven-Tags-for-Individual-Songs-Like-Steam-Game-Tags/idi-p/7482227,forum
7478352,Restore a permanent Recents row on the desktop Home page,"<P class=""""><SPAN>The desktop app used to provide quick and reliable access to recently played albums and playlists through a dedicated Recents section on the Home page. In recent versions, the Recents row appears inconsistently and often disappears altogether, making it much harder to return to content that users have recently been listening to.</SPAN></P><P class=""""><SPAN>I would like Spotify to restore a permanent, always-visible Recents row on the desktop Home page, similar to the experience offered in the mobile app. This section should remain available regardless of what recommendations, personalised playlists, podcasts, audiobooks or other promotional content Spotify chooses to display elsewhere on the Home page.</SPAN></P><P class=""""><SPAN>Many users use the Home page primarily as a starting point for returning to albums and playlists they already know and listen to regularly. Having to search through activity feeds or recommendation modules to find recently used content adds unnecessary friction to a task that should be immediate.</SPAN></P><P><SPAN>Please restore a dedicated, permanently visible Recents row on the desktop Home page.</SPAN></P>",hfsbro,2026-06-20T14:52:20.182+02:00,https://community.spotify.com/t5/Live-Ideas/Restore-a-permanent-Recents-row-on-the-desktop-Home-page/idi-p/7478352,forum
7477366,Artist and Genre Algorithm needs improvement,"<P class=""""><SPAN>Dear Spotify Team,</SPAN></P><P class=""""><SPAN>I have been a Spotify Premium subscriber for many years and have always appreciated the platform's ability to help me discover new music and artists. Unfortunately, over the past several months, I've noticed a significant decline in that experience.</SPAN></P><P class=""""><SPAN>Many of the playlists and recommendations being presented to me now feel repetitive and stale. Different playlists often contain many of the same songs, resulting in very little actual music discovery. Instead of being introduced to new artists or tracks, I find myself hearing the same selections over and over again.</SPAN></P><P class=""""><SPAN>Additionally, the genres and artists being recommended increasingly do not align with my listening habits. It feels as though the algorithm has become less accurate and less personalized than it once was. Rather than helping me explore new music within the genres I enjoy, it often suggests music that has little relevance to my tastes.</SPAN></P><P class=""""><SPAN>One of the primary reasons I subscribe to a music streaming service is to discover new music. Lately, that aspect of Spotify feels largely absent, and the overall listening experience has become predictable and, frankly, boring.</SPAN></P><P class=""""><SPAN>At the same time, subscription prices continue to increase. As a paying customer, I expect ongoing improvements to the service, particularly in areas like personalization and music discovery. Instead, I feel the experience has moved in the opposite direction.</SPAN></P><P class=""""><SPAN>I wanted to provide this feedback because I genuinely enjoy Spotify and would prefer to remain a customer. However, if the recommendation and discovery experience continues to decline, I will seriously consider exploring alternative streaming platforms that do a better job of introducing listeners to new music.</SPAN></P><P><SPAN>Thank you for taking the time to read my feedback. I hope it can be shared with the teams responsible for recommendations, playlist curation, and user experience.</SPAN></P>",mbotic1,2026-06-19T17:11:10.448+02:00,https://community.spotify.com/t5/Discovery-Promo/Artist-and-Genre-Algorithm-needs-improvement/td-p/7477366,forum
7475500,Regional Focus: Allow users to select preferred locales/regions for algorithm recommendations,"<P><STRONG>Current Behaviour:</STRONG><BR />Right now, Spotify's automated discovery algorithms (Discover Weekly, Release Radar, Smart Shuffle, and Autoplay) default heavily toward mainstream global hits, which are overwhelmingly dominated by American artists. Even if a user’s personal listening history consists primarily of UK, European, or other regional music, the algorithm frequently overrides these habits to push US-centric music. There is currently no setting to specify which geographic music scenes you want to discover or prioritise.</P><P><STRONG>My Suggestion for Improvement:</STRONG><BR />I propose adding a <STRONG>""Preferred Regions/Locales""</STRONG> setting within the app preferences, or a localized filter toggle directly on automated playlists.</P><P>This feature would allow users to select specific regions (e.g., ""UK &amp; Ireland"", ""Europe"", ""Nordic"", etc.) that they want the algorithm to actively prioritize. Selecting a region would adjust the recommendation weights, preventing the feed from constantly defaulting to American charts.</P><P>As a global platform, Spotify should allow listeners to explicitly support and discover talent from their own regions or specific cultures they are interested in, rather than pushing a one-size-fits-all, US-heavy music feed.</P>",opalfruit1979,2026-06-18T09:57:29.462+02:00,https://community.spotify.com/t5/Live-Ideas/Regional-Focus-Allow-users-to-select-preferred-locales-regions/idi-p/7475500,forum
7475172,add feature to 'dislike' songs or albums,"<P>You can already add songs to your Liked Songs list, and I guess this factors into the recommendation engine.</P><P>&nbsp;</P><P>But there's no way to dislike songs, or albums.&nbsp;<BR /><BR />I guess spotify have decided not to use disliking in their recommendation engine, but it would still be a useful feature from a usability perspective<BR /><BR />If I have artists I love, but they have one or more albums I hate, I want to flag those to say Ive listened to them and dont plan to listen again.<BR /><BR />At the moment all you can do it trawl an artists albums and try to remember which one's you already listened to, but didn't necessary like</P>",carpii,2026-06-18T02:43:54.104+02:00,https://community.spotify.com/t5/Live-Ideas/add-feature-to-dislike-songs-or-albums/idi-p/7475172,forum
7469046,DJ sucks,"<P>Love the recommendation algorithm in ""DJ"", but hate the ai dj. Would love it if we had the option to turn him off.</P>",djhater,2026-06-15T06:04:53.397+02:00,https://community.spotify.com/t5/Live-Ideas/Change-Disable-voice-personality-of-AI-DJ/idc-p/7469046#M354045,forum
